9EB3,4E04
93E0,3B99
8CEB,23551
8F47,2355A
9B74,23567
92B4,23595
91ED,23599
96D2,2359C
FD52,6998
8DC1,699F
8E46,69A2
A0D1,69B2
9FCA,69C0
92CF,69D1
9CF4,69D5
8DC4,69D6
FD41,69E1
9CDE,6A03
8DC3,3BBC
87D8,235BB
FD46,235CD
8F4F,235CE
9549,235CF
9B75,235F3
FA5C,23600
FD57,69F9
FCEF,69FA
FD42,6A0B
986C,6A0C
97F9,6A1A
9558,6A1C
87B6,6A29
985E,6A2B
FE7B,6A2C
94CD,6A2D
8DC6,6A65
9BB8,3BBE
FBF0,3BC2
93E9,3BC4
8751,23617
9B79,2361A
FD4B,2363C
96D3,23640
FD58,23659
945F,2365F
A0F5,23677
93EE,6A33
8CA3,6A43
FD5A,6A45
93F5,6A4C
93EF,6A52
8EEA,6A53
8F5B,6A57
8C5E,6A63
8DC8,6A71
8DC7,6A74
93F7,6A7A
93F6,3BD7
8DC5,3BDD
87C7,2368E
877C,2369E
9243,236A6
97FA,236AD
9DD9,236BA
97F4,236DF
924D,236EE
8DC9,6A82
FBF2,6A8A
9670,6A8F
8DCB,6A99
FD5C,6A9D
8F65,6AA7
8DCA,3BEC
8DCC,3BF2
FD5D,3BF3
93B5,3BF4
FD5B,23703
9B7A,23716
9ED5,23720
FAAE,2372D
9CC9,2372F
9258,2373F
8DCD,6AAB
9DA8,6AB1
94F9,6AB2
8DCE,6AB5
93EA,6ABE
FD5F,6AC8
93F0,6AC9
9FB6,6ACA
8EC8,23766
94B4,23781
8DCF,6AD4
9763,6AD8
93E1,237A2
93DF,237BC
FCF0,237C2
8DD0,6AF6
FD61,3C0D
9CF8,3C11
93EC,237D5
97F6,237D6
96CF,237D7
93F1,6B05
9252,3C15
A0E8,3C18
93DE,2383A
FD62,6B1D
FD65,6B35
9FDB,6B52
93F8,6B57
C8A1,9FB0
9CA5,3C54
8BF7,6B6F
FD66,6B74
8BCF,6B7A
8ACF,239C2
8DD1,6B81
8DD2,6BC1
9BA2,23AA7
FD69,23ADB
9352,23AEE
98A2,23AFA
8C56,3C8B
8CE7,23B1A
FD71,6BDC
FD6F,6BE1
FD6E,23B5A
8DD3,6BEA
9FE7,6BFA
90BD,6C1C
8CA4,23C63
9FD0,6C31
N/A,6C32
8BD0,6C35
8BD1,6C3A
FD72,6C37
9CAE,6C39
8ADB,6C3D
FAE4,6C49
95CE,6C58
FD76,6C5A
FB62,6C6E
8DD4,6C75
FD78,6C79
8EE3,6C7F
9076,6C9F
98C6,6CA2
8DD5,6CAA
FA7C,23C99
93FA,23C9A
907C,23C9B
97D1,6CAF
9EB6,6CB2
FAC7,6CCB
A042,6CCE
9873,6CDF
9FFC,6CEA
8DD6,3CCB
97C0,3CCD
A0DE,3CD1
8F67,23CB5
9DB7,23CB7
A0E9,23CC7
FA4E,23CC8
FDA1,23CC9
8CA5,6CFF
8DD7,6D02
92FB,6D05
8DD8,6D06
944F,6D24
8DD9,6D26
896B,6D4E
97D2,3CD6
FAA5,3CDC
9E74,23CFC
9FBF,23CFD
9ECB,23CFE
9BB9,23CFF
97CE,6D57
FAF3,6D5B
FDAE,6D5C
FBAF,6D71
92B7,6D72
8DDA,6D81
9C5A,6D8F
FDAD,6D96
N/A,6D9A
8DDC,6DA4
9444,6DA5
FDA3,3CEB
8DDB,3CEF
9DD4,23D40
97B9,23D5B
8DDD,6DB1
A0D6,6DB9
8C41,6DFE
97D5,6E02
944A,6E04
944D,6E0A
97CB,6E0F
8DDE,6E15
8EF1,23D7E
957B,23D8F
9ED2,23DB6
9753,23DB7
96A4,23DB8
8FBE,23DB9
94D9,23DBA
9058,23DBB
FD79,23DBC
FD7B,23DBD
8EDA,23DE3
8EFA,23DF8
8DDF,6E18
8DE0,6E29
FEF9,6E2A
FDC0,6E4F
FCF9,6E50
8CDD,6E57
FB7E,6E59
92B3,6E76
FDAF,6E7C
8DE1,6E86
95D3,6E8B
8CEA,3D12
8EAF,3D13
8762,23E06
9BA5,23E11
9ED9,23E2C
97D4,23E2D
90BB,23E2E
FDBC,23E2F
FDC6,23E30
9248,23E31
92B5,23E39
89C1,6E9A
FD68,6EB5
9CB7,6EB8
8DE3,6EBB
FAC0,6ED9
8DE5,6EDA
FA64,6EDB
8947,6EDD
8DE4,6EE2
8DE7,6EE8
8DE8,6EE9
FD49,3D32
FDD1,3D3B
9DC1,23E88
92B9,23E89
92A6,23E8A
8F4B,23E8B
9BA6,23EB9
92B6,23EBF
FDC7,6EFA
FDB0,6F04
97D6,6F0C
FCC6,6F16
9844,6F17
8DE9,6F24
8DEA,6F34
FDCC,6F44
FDCF,6F74
8DEB,3D46
8E40,23ED7
9ED8,23EF7
945E,23EF8
985F,23EF9
94CE,23EFA
924A,23EFB
FD70,23EFC
9467,23F35
8DEC,23F41
9445,6F0B
FE50,6F3D
9DA7,6F56
FDCD,6F5C
95D2,6F79
8DED,6F81
FCBA,6F8A
FDC5,6F9D
97C6,3D4C
FDCE,3D4E
90FC,3D51
9BD8,23F4A
8763,23F61
9448,23F7F
FAC1,23F80
9CF7,23F81
FDBE,23F82
8FDA,23F8F
FDD9,23FB4
FC7E,23FB7
FDD2,6F9F
9CDC,6FB5
95CF,6FBB
8DEE,6FBE
FDD4,6FD3
FC59,3D5F
96D6,3D62
97C5,3D69
8DEF,3D6A
FA43,23FC5
FAEB,23FEB
FAC3,23FEC
97D3,23FED
95F9,23FEE
9C48,23FEF
FDD8,23FF0
A0D8,24011
96EC,6FD9
96EB,6FDA
90B6,6FF6
FDC3,6FF8
97D7,3D6F
8DF0,3D75
93F9,23FC0
FDD7,24039
FB4A,2403A
9BAF,2403B
944B,2403C
FDC9,2403D
8EAC,24057
98AB,7003
96A6,3D7D
FDB2,24085
925A,2408B
FCBD,2408C
92D9,2408D
FDD5,24091
96EE,701E
8DF4,702C
FBBF,3D85
8CDF,3D88
8DF3,3D8A
92DD,240C9
9259,240E1
87DC,2ADFF
9449,3D8F
8DF5,3D91
8CF0,240EC
96BA,24104
FDE0,704B
8C67,704D
8DF6,7050
925B,2410F
9BAB,24119
8DF7,7054
FDDA,2413F
FDDE,24140
FDD3,24144
8FFA,705C
8C46,2414E
FDD6,24155
FDDC,24156
FDDD,24157
90FE,2415C
FEA1,2415F
87A5,24161
97D0,7067
8BAD,24177
9CD8,2417A
8BD2,706C
87DE,706E
8DF8,706F
90D9,7075
8C47,7077
FAF0,7079
FDE1,707E
8DF9,707F
9872,3DA5
FDE3,7081
8DFA,7089
FB63,708B
90A6,708F
9E6D,241A3
FD7C,241A4
FB61,241A5
96F8,241AC
96F0,241B5
9970,70A0
91EB,70A3
9770,70A5
986F,70A6
FDE2,70A7
98F2,70B9
9AFC,70BB
896C,70BC
FDFD,70BD
995E,70C0
8E6B,3DAD
FCF4,241CD
FE60,241E2
95BD,70C4
FDE4,70CC
91E6,70D0
FDE5,70D5
FDE6,70D6
FDE7,70DF
FAFD,3DB4
9852,241FC
964F,2421B
9454,70F1
99B8,70F5
97E9,70FE
9346,7105
8F50,3DBF
916E,2424B
986D,24256
9864,24259
9863,711D
95BC,7129
FDED,712B
FDF7,712C
9870,7133
96F6,7134
8EA9,7135
9451,713B
8E43,713E
8B5A,7140
9BF5,7151
9DCC,3DC6
FC65,3DC7
8C44,3DC9
996E,3DCC
94A1,3DCD
9453,24276
FDEC,24277
FB78,24278
95BA,24284
985D,24293
92F9,24295
985A,242A5
FDEE,7145
FDF0,714A
FDF4,714F
8CEE,7157
977E,716B
9BD5,7171
9AC3,7173
N/A,7174
97C8,7175
A0DB,7176
91D0,7177
9FE4,717A
FD53,3BA1
8F63,3DD3
A0DA,3DDB
8750,242BF
FDF6,242C1
93D0,242C9
9862,242CA
9BAD,242EE
974F,242FA
8FDD,717C
91E9,717E
98E0,7188
92CA,718C
9857,718E
8C51,7191
FDEB,7196
9B49,7198
9253,3DE7
FDE9,3DE8
9BAE,2430D
9452,2431A
9BB0,24334
91D2,24348
9D76,71A2
9EAF,71A3
9CCC,71AD
FDEA,71B4
9DB5,3DEB
97EA,24362
FB6B,24363
91B1,24364
FDF3,24365
92CB,2438C
9BB1,24396
FCEC,2439C
8C43,9FA6
8DF1,71B7
FDFB,71BA
8E53,71D1
FACF,71DD
9879,3DF3
876A,3DF4
9D5D,3DF7
8D63,3DFC
9669,3DFD
986B,243BD
9751,243C1
9871,243E9
95EF,243EA
9EF3,243F2
96F9,71EB
98BF,71F5
9E49,71F6
91E8,243F8
9BBA,24404
8CA7,7200
FB4C,24435
926A,24436
9165,269A8
9BCA,7209
FDFE,720E
FE41,7215
9F70,3E06
FDF8,2445A
9861,2445B
92DC,720F
91CC,7216
91E2,7217
91E7,24473
93ED,24487
9744,24488
91E1,244B9
FBF5,244BC
9869,244CE
8A62,244D3
9BBB,244D6
FE44,7224
875F,7225
8BD3,722B
FE47,722E
8CA8,24505
9C55,24521
FE48,7240
8E77,24578
8AB2,245C8
9455,7250
FE4B,7255
FE4C,7257
8DBF,725C
9EBC,24618
9E78,7266
93E6,2462A
FC6A,3E40
93A2,24665
FE51,7282
9456,7287
8AC7,3E43
9BBD,24674
9D61,728F
89D7,3E48
94B3,24697
9457,7294
937D,246D4
9966,729F
FE4D,3E55
9E66,24706
8BD5,72AD
A069,72B2
9459,24725
9BBF,2472F
98B4,72CD
A049,72E2
9458,2478F
A04C,7302
9EDD,3E74
9E65,7304
98B5,7310
9975,732A
FE58,7328
FE53,732B
A065,732C
FE59,732E
98B7,7338
98B8,7339
9EA5,247E0
98BA,7341
98BB,7348
9BC7,24812
FE54,24823
9FBC,734F
8E74,24882
A04A,7371
9EC7,7374
8BD6,248E9
8CA9,738C
98AE,738F
FEFB,3EA8
98BC,3EA9
FACC,3EAA
92D6,7398
95B0,3EAD
94B6,248F0
FD74,248F1
98C0,248F2
94A5,248F3
FAE1,739C
91D4,739E
FADE,73A7
FE5B,73AA
9464,3EB1
9BC8,248FB
95ED,248FF
FD7E,24900
FBEB,24901
FD7D,2490C
8C53,73BA
87BF,73C4
FE5E,73C9
FBD7,73CE
FE5A,73CF
94C5,73D0
936F,3EB8
976F,24916
9461,24917
9FC1,24919
95D7,2492F
FA52,24933
9C58,24934
FACA,73D5
98C1,73E1
975C,73E2
FE74,73E4
9773,73E6
FA46,73EF
964E,73F9
94B9,3EBF
95EC,3EC2
91EE,3EC7
9F68,2493E
9BE7,2493F
FCCE,24940
96E8,24941
FA49,24942
97A1,24943
9764,73F3
9765,73FB
8C5A,7402
89A1,7411
95FA,7412
98C3,3ECA
95F6,3ECC
8FFD,3ED0
954D,24962
9EF8,24963
FE49,24974
91CE,24975
9771,24976
FE68,73F7
92D4,7414
FE69,7415
FB45,7417
98C8,7419
90EF,741C
98CA,741F
946D,7437
94B7,7438
FE6C,7439
946B,743C
98C5,3ED1
9766,3ED6
FE6E,3ED7
97DD,3EDA
8CAA,3EDB
8CCF,2497B
FDB1,2497F
FC6E,24982
9CF2,24988
93B8,24989
9043,2498A
9759,2498B
94D7,2498C
FE66,2498D
947D,2498E
FC6F,2498F
9246,24994
FA6D,249A4
8EF7,249A7
FBB7,249A9
947C,249AB
92CD,249AC
97B2,249AD
98C9,741E
92FC,7443
95EB,7445
FE73,7447
976E,7448
FE5F,7449
87B8,744C
FDBD,7453
92D5,7456
FEB9,745D
FBBB,7465
92D2,3EDE
9761,3EE1
98CB,3EE2
FE65,249B7
967E,249B8
9758,249B9
9B77,249BA
91CF,249BB
94A4,249C5
9CAD,249D0
8BAB,249DA
96D5,249DE
FCB3,249DF
93AE,249E3
976D,249E5
FE71,7460
8778,7461
947A,7468
95FB,746B
FE77,746C
FE79,7474
FE75,7476
95F0,3EE7
975D,3EE9
9446,249EC
95F7,249ED
9C46,249F6
955B,249F7
91D1,249F8
94F4,249F9
FE67,249FB
92A5,24A0E
FEDF,24A12
8CAB,24A13
945D,747A
FE7C,7482
9344,748C
91E3,3EEB
877E,3EEC
98CC,3EF0
9469,3EF3
98CD,3EF4
9BC9,24A15
FCED,24A21
FDFA,24A22
FCC8,24A23
FE62,24A24
91FC,24A25
FE6B,24A26
FDF9,24A27
FCC7,24A28
914E,24A29
9CB8,24A2A
9767,24A3E
8EA6,748D
92D3,7499
8779,749D
FC71,74A4
98CE,3EFA
95FC,3EFC
95EE,24A42
9BB2,24A45
9460,24A4A
94A2,24A4E
9875,24A4F
97AC,24A50
91D3,24A51
987B,24A5D
8EEB,24A65
976A,24A66
965E,24A67
94B8,749B
975E,74B4
94A3,3EFF
9662,3F00
97EB,24A71
9FF9,24A77
95F8,24A78
FEA2,24A79
8FE6,24A7A
8CAD,74B9
FE7E,24A8C
9DA4,24A93
9768,24A94
8EEC,24A95
94BD,24A96
945B,24AA4
9CF6,24AA5
FAA7,24AA6
9BD9,24AA7
87C1,74C6
FEA7,74C8
FEB6,3F04
9463,3F06
FA5D,24AB1
9656,24AB2
9762,24AB3
94BA,24ABA
A04F,24ABB
92D8,24ABC
946A,74CC
93E3,74D0
8D47,3F07
9BCB,24AC0
94BB,24AC7
98CF,74D3
9D5F,24ACA
90CF,24AD1
9465,24ADF
9F4C,24AE2
90D8,24AE9
98D0,3F0E
8D5B,24B0F
A0D9,74E7
A0BF,74F0
A04D,74F1
A0B8,74F2
A0CE,74F8
A0B7,7505
9EBE,24B6E
FEA9,750E
89C3,7519
FEAB,751E
98D1,3F53
FB6D,24BF5
95CA,24C09
9DF4,7534
896D,7535
9C7B,753B
98D2,7542
9FA9,7546
FEB2,754A
FEB1,754D
97D9,7551
A0C4,7553
9475,3F58
FAE0,3F59
9476,7555
FEB3,7567
98D3,756D
FEB4,756E
98D4,7572
9FB9,757A
9472,3F63
9DC2,24C9E
97F8,24C9F
8FFC,24CC9
9471,7583
9473,24CD9
9474,24D06
FEB7,24D13
98D5,758D
FEB8,758E
C6D4,7592
FEBA,759E
98D6,3F7C
9E5C,75B1
FEBB,75B4
A044,75C3
98D7,75C8
98D8,75DC
8AF0,3F93
8A4B,24DB8
FEBC,7602
8A55,24DEA
8B69,24DEB
9FFE,7607
98D9,3FC0
8ADC,24E3B
8B76,24E50
FEBD,762C
9DDD,763B
8D5A,3FC8
9EE1,7640
98DA,764D
9DDF,764E
9BCE,24EA5
8A68,24EA7
FEBF,764F
FEBE,7651
9EEB,7654
9E59,7666
A05C,7667
98DB,3FD7
A0F8,24F0E
FEC0,766F
9477,7673
98DC,7674
98DD,3FDC
FEC1,7676
98DE,767A
9978,7560
98DF,24F5C
FEC3,7690
FEB5,24F82
9BCF,24F86
98A8,3FE5
96FB,24F97
9BFB,24F9A
FEC8,76A1
FEC9,76A5
9ECE,24FA9
8EE5,24FB8
9E7B,24FC2
8A6D,3FED
FECA,76B7
8AFB,3FF9
9BD2,2502C
8AAE,3FFA
FECB,76CC
8AA5,25052
9FC2,76D6
8C6B,76D9
FBC9,4004
FECE,2509D
8C5D,4009
98C4,770C
98E4,401D
8A45,2512B
94B0,770E
94B1,770F
FED1,771E
A0C1,7724
A0CD,772B
9DFC,25148
FED2,7726
FECF,2517D
8BA5,2517E
FED3,7740
98E5,7743
98E6,4039
FED6,7758
98E8,4045
8C4A,251CD
8AEC,251E3
FCE0,251E6
94AD,251E7
91E4,7772
8FC7,7777
94AE,7778
8A4F,777A
94B2,777B
8A4D,4053
FED5,25220
94AC,25221
8FD4,7793
9257,4057
FC5A,25250
98EA,7798
95DF,4062
A0AC,4065
98EB,406A
9BD6,25299
FED8,77AF
98EC,406F
8CC3,4071
8A6F,252C7
9DE0,77B9
98EE,77BE
8BA9,252D8
95C4,77C3
FCE8,77C5
8E5F,2530E
9DCB,25311
FCE7,25313
98EF,77CB
8C6E,77DD
FAD8,77E6
FEDC,77F4
9BD7,25419
A0AE,77FE
93C8,25425
9D4C,7808
98F1,7818
98F3,781C
91F0,2542F
8FE0,25430
94C1,781E
98F5,7839
FA4F,783C
96E2,783D
98F4,40A8
9BDB,25446
90ED,2546C
9BDC,2546E
9450,7842
96A2,7844
98F6,7847
96E5,784B
98F7,7851
A046,7853
96E3,7854
8D53,2549A
98F8,7866
87D9,40B4
9EE4,787A
F9D6,7881
94C3,7888
94C2,788D
8AB8,40BB
9EE7,40BF
FEE1,78AF
FEE9,78B1
96E4,78B6
89AC,78B8
96DB,78B9
94BC,40C8
FEE2,78C7
94C4,78D2
FEE3,78D3
FEE7,78D7
9FFB,78D8
8C59,78E4
A0EC,25531
98FA,25535
9BE0,2553F
93C9,78EE
FCD1,40D8
93C7,2555B
9249,2555C
96E1,2555D
9BE2,2555E
9BE4,25562
8FE1,25565
9BE5,25566
94E8,78F0
FB56,78F1
90C5,78F5
9CC6,40DF
94C0,25581
93C3,25584
93C5,2558F
A0A8,7906
9079,255B9
FEE5,792E
98FD,7932
98FB,7933
FEE8,7934
977B,255D5
907E,255DB
8D4A,40F8
FEE6,255E0
8EBF,7936
9E7E,40FA
8BD8,793B
FE46,25605
FEF7,793C
8F68,7958
94C6,7959
9DEA,7962
8D44,4102
98FE,4103
9DB8,25635
FDE8,4104
9270,25651
FC69,7971
9940,4109
95A8,25683
9CDA,797E
FEF3,7980
9C72,7983
FEF0,7986
89C9,7987
94C9,410E
8CB0,25695
9941,7991
9942,7999
FEF5,799D
91D7,799F
94CC,79A5
FEF8,79A9
94C8,256E3
98B9,256F6
9140,25706
FCBE,2571D
9157,25725
8BB2,2573D
97A8,79C4
FEFC,79C6
8CDE,79CA
FDBF,79CC
87B3,79D0
FEFE,79D4
87C6,4131
94D3,4132
FADF,25772
96D1,79E2
94D5,79F1
94D0,79F4
9944,7A06
N/A,7A0E
9BE6,257C7
9643,257DF
8E44,257E0
9C4F,257E1
8C63,7A2A
87BB,7A2C
A0B3,7A2D
87B4,7A32
9946,4167
94CF,7A3A
9FFA,7A3E
91E5,7A43
90C0,416C
94D1,416E
FEF4,25857
9C6A,7A45
8D4E,417C
9BE8,2585D
93DC,25872
8E49,7A49
9573,417F
87CE,4181
966F,258C8
8E4C,7A65
87A1,258DE
8E4A,258E1
9BED,25903
87C9,7A72
93C2,4190
8E4D,7A7D
9A73,7A83
92F6,25946
9DB9,25956
9947,7A91
8CB1,7A93
8E4E,259AC
FBCF,259CC
8E50,7AB0
8E4F,7ABB
9949,7ABC
9948,41B2
8E51,7AC2
8E52,7AC3
9AB2,7AC8
89A5,7AC9
8760,25A54
994C,7ACF
994B,41C4
9FF8,7AD3
8E56,7ADA
994D,7ADB
91CA,7ADC
8E57,7ADD
8E55,41CA
94E1,7AE2
9047,7AE7
8FD8,7AE9
8E58,7AEA
994E,41CF
9EC2,25A95
94E5,25A9C
9BF0,25AAE
94E4,25AAF
87A3,7AFC
94EB,7AFE
9551,25AE9
8E5C,7B0B
9553,7B0C
9FE5,7B14
8EFE,41DB
9F56,7B1F
954F,7B27
8E5E,7B29
996A,7B39
9C64,7B42
9CD9,7B43
8E5D,7B55
8D5F,41ED
8E59,41EF
9950,7B62
9951,7B6C
8E62,7B6F
9952,7B7B
94EC,41F9
8BBB,25B74
9BF1,25B89
8E68,7B92
8E61,7BA2
9F59,7BA3
94F0,25BB3
8E64,25BB4
94EA,25BC6
87D0,7BAE
8BB3,7BB2
87B9,7BC5
9F5D,7BCF
8E66,7BD0
94EF,4211
8C60,4223
8F61,25BE4
9B64,25BE8
8E5B,25C01
9BF2,25C06
8CB2,7BEC
9FBE,25C21
9DC9,25C4A
8E6C,25C65
8E6E,7BFA
9F64,7BFC
9953,7C12
FAB8,7C15
8F74,4240
8F73,25C91
8CAF,25CA4
8F75,25CC0
9954,7C1B
8E71,25CC1
8E60,25CFE
8E6A,25D20
8E70,7C35
9F61,7C42
9955,4260
8C4C,25D30
9552,25D43
8E72,7C44
9F40,7C56
9544,426A
87CF,25D99
94ED,7C5D
87C0,25DB9
8CCB,4276
94EE,7C6D
9FBD,7C70
9554,25E0E
8E7B,7C74
9957,7C7B
94F7,7C7C
9F5F,7C7E
9956,427A
8E73,7C83
9F62,7C86
94F6,7C8E
9958,7C9C
8AD4,25E49
8E75,7CA6
F9DB,7CA7
9072,7CAC
94F8,7CAE
9959,428C
9DBB,25E81
9543,25E82
92FE,25E83
995A,7CB8
94F2,25EA6
94F1,25EBC
A0B0,7CC2
8CB3,7CC3
8E79,7CC7
8E78,7CC9
94F3,7CCD
995B,4294
A0EA,25ED7
9DD2,25ED8
98AF,7CD3
A0B2,7CDA
8CC4,42A2
8E7A,7CE6
A0B1,25F1A
995C,7CED
91F8,25F4B
8E7D,7CF5
8E7C,7CF3
8BD9,7CF9
9D70,7E9F
89A2,7CFC
FA45,42B5
896E,7EA4
90B7,42B9
9ED7,7D25
896F,7EAC
8970,7EBA
9743,42BC
8971,7EC7
8972,7ECF
9462,25FE1
9BA4,25FE2
A0B6,7D4D
9E42,7D5A
8EA4,7D5D
8973,7EDF
8EA7,7D89
8C76,7D8B
8767,7D95
9542,7D97
877D,26021
8EAD,26029
987D,7DA4
9755,7DA8
8EA8,7DAB
8EAA,7DB3
89A3,7DCD
9960,7DCF
9962,7DD0
9961,7DD4
9EAD,26048
96D0,26064
94FC,7DD3
94FA,7DDC
8EAE,7DE4
8EB2,7DE5
8EB0,7DF5
N/A,7DFC
9963,7DFD
97AA,7DFE
94FB,7E07
8974,7F06
95CD,42F4
97C9,42FB
FD50,42FC
FEEE,26083
8AB4,26097
9757,260A4
8A77,260A5
8EBB,7E27
87AA,430A
9BF7,26102
8EB5,26121
8CDC,7E5B
9876,7E65
8EA1,7E67
A06D,26159
8EB6,2615A
9756,2615B
9540,2615C
8CB4,7E6C
8EB7,7E6E
9DA6,7E7F
A0F3,261AD
94BE,261AE
9BFA,261B2
9EB0,7E8E
8EB8,7E92
8EB9,432B
FDDF,261DD
8975,7F37
8EBC,7F40
8EBD,7F41
8EBE,7F47
9DD1,7F49
9DBC,26258
94FD,7F4E
94FE,26261
8BD7,7F52
8BDA,7F53
8BDB,2626A
A0FE,2626B
8EC0,262D0
A0E2,7F71
9FE9,7F78
9F47,26335
8BDE,2634B
A0FB,2634C
FDA8,7F8F
8EC3,26351
8AE7,7F93
8EC2,7F97
95C6,436E
8EC4,7FA3
9964,7FAE
9649,263BE
9965,7FB4
FEC2,263F5
954C,263F8
9BFD,26402
90CC,26410
9C60,26411
954B,26412
954E,7FDD
9BFE,2644A
98B3,7FE7
9C70,26469
9C43,26484
9C47,26488
8ECC,26489
8ECB,7FFA
9967,4397
8E54,2648D
8EE4,26498
8CE3,439A
8BDF,8002
8ECE,8008
8ECF,801D
9968,8020
9969,8025
9C49,26512
996B,802E
8ED1,802F
996C,8031
8ED4,803B
8ED5,803C
996D,8054
8B5E,26572
A0BE,805B
8ED6,8061
A0BC,8062
A0B5,8063
8AB9,43BA
955E,265A0
A0B4,8066
955C,265AD
8DFC,43C1
9C4B,265BF
8BE0,8080
8BE1,26612
8ED9,26626
89B5,809F
8EDD,80A7
9E5D,80B6
9971,80B7
89AE,80BC
9DE8,80BD
8A76,43D9
9565,80C6
9972,80E9
8B5C,80EC
9566,8109
9D51,43DF
89B1,80F6
A0C0,8103
8EDF,8107
9974,810C
9976,810E
9977,8112
9979,8114
9973,43ED
9DB4,266AF
925F,266B1
9C4C,266B5
9DDA,8117
8EE0,811A
935C,812A
N/A,8131
9DE6,8132
8B5F,8134
9563,8137
8740,43F0
9D4F,43F2
8AA1,266DA
8EDB,266E8
9C56,266FC
9567,8142
9DE3,8148
997C,8156
997D,8159
997E,815A
997B,3B39
997A,4401
9564,4402
8AA2,26716
9754,26741
8CFB,816C
8B5B,816D
99A3,817C
N/A,817D
99A4,8184
99A1,4413
99A5,4425
9C5E,26799
9ED4,267B3
9568,267B4
A0C3,267CC
99A6,8193
99A8,81A5
99A7,442D
8ABE,81AA
9E61,81B6
8AE6,2681C
9C5F,2686E
99AA,81C1
A0C8,81C8
A0F7,26846
9C61,2685E
FC4D,26888
9E5B,2688A
9E69,26893
9C63,268C7
99AB,81E4
FEC7,2690E
FEC4,81EF
FEC6,26911
9C67,26926
9C69,26939
98C2,81F6
8BE2,26951
9CE7,269B5
8EE8,8218
8A54,269F2
A0BA,821A
9C6C,269FA
FD77,8226
8EEE,8229
9EBF,822D
9C6E,26A2D
FE5D,26A2E
89C2,823E
9C73,26A34
956A,26A42
956D,26A51
8EF0,26A52
99AC,8254
8EED,447A
956B,8262
956C,8265
99AD,448F
99AF,8276
994A,8279
C87E,4491
8976,827A
8F48,827B
FBEE,8287
8F4D,26B05
8EF6,26B0A
99AE,82A6
8EFB,82AA
8B52,82C4
99B0,82CA
8977,82CF
946E,449F
8F70,44A0
FAD0,44A2
FABC,26B13
8CD5,26B15
875E,26B23
FBDA,26B28
8EFD,2F994
8CD0,82BF
8F41,82D0
99B1,82D8
8F49,82E2
FA4D,82EE
9DE4,82F7
8CB5,82F8
FBE9,82FC
9B54,82FD
99B2,82FF
9E68,830B
8B4C,26B50
FD75,26B51
9BDD,26B52
FAF5,26B53
9C74,26B5B
945A,5179
8F4A,8318
8F42,831A
9846,833D
99B4,8357
8EF5,8362
FD55,8363
9CCD,8366
8978,836F
99B3,44B0
A053,44B7
8D5E,44BD
965C,44C0
9545,26B75
96C6,26B82
8F6A,26B96
8F4E,26B97
9C78,26B9D
FA55,26BB3
8F51,831D
8F53,8385
8F6F,8391
8E63,839C
8F56,83AC
FE76,83B9
8CE0,44C3
FD7A,44C5
97FE,44CE
97E4,26BC0
9C41,26BF7
925C,26C21
87DA,9FCA
9FC6,83BE
FAAC,83CD
8F58,83D3
9848,83ED
99B7,8405
9665,8414
FA6C,8416
9DE7,8418
9E62,841C
96CC,8420
8E67,8421
FC75,8424
987E,8426
92BD,44DD
8D5D,44DE
97FD,44DF
87DB,44E1
8F64,44E4
FCF7,44E9
9562,44EA
97CD,44EB
9E64,44EC
96FA,26C40
8CF6,26C41
8D4D,26C46
FB66,26C7E
8E65,26C7F
9849,26C80
FBA8,26C81
9842,26C82
9C7A,26CA4
97FB,26CB7
90CA,26CB8
9C5B,26CBD
974D,26CC0
FDB9,842E
97FC,843E
98F9,8448
8F66,844A
956E,8453
9245,8455
8F60,8458
9ED1,845C
FECD,8462
99B9,8464
8F62,8471
974C,8472
91C7,847F
955F,8480
87AB,8484
99BB,8488
924C,44F4
8ED3,26CC3
9561,26CD1
9F4B,26D22
9FB5,26D23
93D2,26D24
FDAA,26D25
9840,26D26
9146,26D27
9867,26D28
FA5A,26D29
FBA9,26D2A
9841,26D51
8E6D,8492
8F71,8493
94CB,8496
95B1,84A3
9AF2,84AD
96C3,84BD
99BD,84BE
A0CF,84DA
8F6D,84DE
99BE,84E1
8EF4,84E2
8F72,84E4
8EC9,4503
99BC,4504
9DA5,4509
8F54,450B
8CD3,26D74
FCFD,26DA0
FDAB,26DA1
91BD,26DA2
8F4C,26DA3
96C9,26DA4
8F55,26DA5
FBAE,26DA6
956F,26DA7
9C7D,26DAE
A0F0,26DDC
946F,26DEA
FDAC,26DEB
96CB,26DF0
95E4,84E5
99BF,84F8
9242,8503
87D7,8504
FBA5,8505
99C0,8510
FDB4,8533
8F77,8534
99C1,8538
8F7C,4516
8D55,451B
8EA2,451D
8F7A,4527
96CE,26E00
A056,26E05
9CE1,26E07
96C4,26E12
8F5E,26E42
8F6C,26E43
8EA3,26E44
FBB3,26E45
FC53,26E6E
FDB3,26E72
8F6B,26E77
96CA,26E84
FAB9,8542
8F40,854B
FA44,854C
99C2,8552
8F5C,855A
8CBD,855F
99C4,856F
99C5,8570
8F7B,8573
97AE,452E
96C8,4533
8CE4,4536
99C3,453B
90D6,453D
9CBE,453F
8F76,4543
87CD,26E88
8753,26E8B
8F79,26E99
9E6F,26ED0
A0C5,26ED1
FC78,26ED2
8E42,26ED3
8F5A,26ED4
90C2,26ED5
8EA5,26ED6
9061,26ED7
